?û³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	Îå??Êô?Ô	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµ?·Å	½Å±¾?û(²ÎÊ?1)	¼¼ÄÜID£¨²ÎÊ?1£©	²ÎÊ?2(ÊÍ·¨Àà?Í)	²ÎÊ?3(ÊÇ·ñ¹?²¥)	²ÎÊ?4(ÊÇ·ñÓ?µÈ¼¶¸ÅÄî)	²ÎÊ?5(ÊÇ·ñ¿É·Å¿?½?À¸)	Target	ÎïÆ·×î´óµ?·ÅÖµ	?ªÇóµÈ¼¶ÏàÍ¬	?ªÇóÎå??ÏàÍ¬	?ªÇó??ÔËÏàÍ¬	?ªÇóMagicLevel1ÏàÍ¬	?ªÇóMagicLevel2ÏàÍ¬	?ªÇóMagicLevel3ÏàÍ¬	?ªÇóMagicLevel4ÏàÍ¬	?ªÇóMagicLevel5ÏàÍ¬	?ªÇóMagicLevel6ÏàÍ¬	µÀ¾ß¶îÍâ²ÎÊ?1	µÀ¾ß¶îÍâ²ÎÊ?2	µÀ¾ß¶îÍâ²ÎÊ?3	µÀ¾ß¶îÍâ²ÎÊ?4	µÀ¾ß¶îÍâ²ÎÊ?5	µÀ¾ß¶îÍâ²ÎÊ?6
"MËt ®å ""§ång hµnh luyÖn cÊp"" 121"	6	1	567	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thiªn V­¬ng s¬n  ®éng gi?t 50 con Kim Miªu,§ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 122"	6	1	568	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thiªn V­¬ng s¬n  ®éng gi?t 100 con Kim Miªu,§ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 123"	6	1	569	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thiªn V­¬ng s¬n  ®éng gi?t 150 con Kim Miªu,§ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 124"	6	1	570	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n tÇng 1 §éng §×nh Hå gi?t 50 con c¸ sÊu, §ång hµnh t? cÊp 45 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 125"	6	1	571	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n tÇng 1 §éng §×nh Hå gi?t 100 con c¸ sÊu, §ång hµnh t? cÊp 45 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 126"	6	1	572	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n tÇng 1 §éng §×nh Hå gi?t 150 con c¸ sÊu, §ång hµnh t? cÊp 45 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 127"	6	1	573	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thanh Loa ®¶o gi?t 50 tªn Lam C©n, §ång hµnh t? cÊp 55 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 128"	6	1	574	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thanh Loa ®¶o gi?t 100 tªn Lam C©n, §ång hµnh t? cÊp 55 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 129"	6	1	575	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thanh Loa ®¶o gi?t 150 tªn Lam C©n, §ång hµnh t? cÊp 55 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 130"	6	1	576	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thanh Loa ®¶o s¬n  ®éng gi?t 50 tªn Thi?t Tr¶o, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 131"	6	1	577	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thanh Loa ®¶o s¬n  ®éng gi?t 100 tªn Thi?t Tr¶o, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 132"	6	1	578	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thanh Loa ®¶o s¬n  ®éng gi?t 150 tªn Thi?t Tr¶o, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 133"	6	1	579	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n V? l¨ng s¬n  gi?t 50 con Th­¬ng ¦ng, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 134"	6	1	580	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n V? l¨ng s¬n  gi?t 100 con Th­¬ng ¦ng, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 135"	6	1	581	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n V? l¨ng s¬n  gi?t 150 con Th­¬ng ¦ng, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 136"	6	1	582	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n B¹ch Thñy ®éng gi?t 50 tªn §ång Chïy, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 137"	6	1	583	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n B¹ch Thñy ®éng gi?t 100 tªn §ång Chïy, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 138"	6	1	584	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n B¹ch Thñy ®éng gi?t 150 tªn §ång Chïy, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 139"	6	1	585	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n §¹i Tï ®éng gi?t 50 tªn §ång Chïy, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 140"	6	1	586	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n §¹i Tï ®éng gi?t 100 tªn §ång Chïy, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 141"	6	1	587	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n §¹i Tï ®éng gi?t 150 tªn §ång Chïy, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 142"	6	1	588	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Phôc L­u ®éng gi?t 50 con c¸ sÊu, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 143"	6	1	589	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Phôc L­u ®éng gi?t 100 con c¸ sÊu, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 144"	6	1	590	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Phôc L­u ®éng gi?t 150 con c¸ sÊu, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 145"	6	1	591	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Miªu LÜnh gi?t 50 con Tr©u r?ng, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 146"	6	1	592	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Miªu LÜnh gi?t 100 con Tr©u r?ng, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 147"	6	1	593	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Miªu LÜnh gi?t 150 con Tr©u r?ng, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 148"	6	1	594	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Kho¶ Lang ®éng gi?t 50 tªn Lang Bæng, §ång hµnh t? cÊp 85 trë lªn."		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 149"	6	1	595	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Kho¶ Lang ®éng gi?t 100 tªn Lang Bæng, §ång hµnh t? cÊp 85 trë lªn."		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 150"	6	1	596	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Kho¶ Lang ®éng gi?t 150 tªn Lang Bæng, §ång hµnh t? cÊp 85 trë lªn."		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 151"	6	1	597	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n S¬n B¶o ®éng gi?t 50 con Háa Viªm Hæ, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 152"	6	1	598	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n S¬n B¶o ®éng gi?t 100 con Háa Viªm Hæ, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 153"	6	1	599	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n S¬n B¶o ®éng gi?t 150 con Háa Viªm Hæ, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 154"	6	1	600	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Y?n Tö ®éng gi?t 50 con D¬i, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 155"	6	1	601	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Y?n Tö ®éng gi?t 100 con D¬i, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 156"	6	1	602	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Y?n Tö ®éng gi?t 150 con D¬i, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 157"	6	1	603	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n V? L¨ng ®éng gi?t 50 tªn K? Chñy, §ång hµnh t? cÊp 75 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 158"	6	1	604	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n V? L¨ng ®éng gi?t 100 tªn K? Chñy, §ång hµnh t? cÊp 75 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 159"	6	1	605	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n V? L¨ng ®éng gi?t 150 tªn K? Chñy, §ång hµnh t? cÊp 75 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 160"	6	1	606	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n T­¬ng D­¬ng gi?t 50 con nh?m, §ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 161"	6	1	607	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n T­¬ng D­¬ng gi?t 100 con nh?m, §ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 162"	6	1	608	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n T­¬ng D­¬ng gi?t 150 con nh?m, §ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 163"	6	1	609	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n T­¬ng D­¬ng mËt ®¹o gi?t 50 tªn §ao Binh, §ång hµnh t? cÊp 55 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 164"	6	1	610	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n T­¬ng D­¬ng mËt ®¹o gi?t 100 tªn §ao Binh, §ång hµnh t? cÊp 55 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 165"	6	1	611	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n T­¬ng D­¬ng mËt ®¹o gi?t 150 tªn §ao Binh, §ång hµnh t? cÊp 55 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 166"	6	1	612	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n D­¬ng Ch©u gi?t 50 con nh?m, §ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 167"	6	1	613	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n D­¬ng Ch©u gi?t 100 con nh?m, §ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 168"	6	1	614	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n D­¬ng Ch©u gi?t 150 con nh?m, §ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 169"	6	1	615	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Háa Lang ®éng gi?t 50 con Th­¬ng H©n, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 170"	6	1	616	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Háa Lang ®éng gi?t 100 con Th­¬ng H©n, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 171"	6	1	617	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Háa Lang ®éng gi?t 150 con Th­¬ng H©n, §ång hµnh t? cÊp 15 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 172"	6	1	618	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Phôc Ng­u s¬n  gi?t 50 con S?i xanh, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 173"	6	1	619	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Phôc Ng­u s¬n  gi?t 100 con S?i xanh, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 174"	6	1	620	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Phôc Ng­u s¬n  gi?t 150 con S?i xanh, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 175"	6	1	621	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Kª Qu¸n ®éng gi?t 50 con Háa V©n Hæ, §ång hµnh t? cÊp 35 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 176"	6	1	622	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Kª Qu¸n ®éng gi?t 100 con Háa V©n Hæ, §ång hµnh t? cÊp 35 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 177"	6	1	623	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Kª Qu¸n ®éng gi?t 150 con Háa V©n Hæ, §ång hµnh t? cÊp 35 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 178"	6	1	624	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thôc C­¬ng ®¬n gi?t 50 con KhØ X¸m, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 179"	6	1	625	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thôc C­¬ng ®¬n gi?t 100 con KhØ X¸m, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 180"	6	1	626	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thôc C­¬ng ®¬n gi?t 150 con KhØ X¸m, §ång hµnh t? cÊp 25 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 181"	6	1	627	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Ti?n Cóc ®éng gi?t 50 tªn §ao kh¸ch, §ång hµnh t? cÊp 85 trë lªn."		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 182"	6	1	628	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Ti?n Cóc ®éng gi?t 100 tªn §ao kh¸ch, §ång hµnh t? cÊp 85 trë lªn."		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 183"	6	1	629	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Ti?n Cóc ®éng gi?t 150 tªn §ao kh¸ch, §ång hµnh t? cÊp 85 trë lªn."		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 184"	6	1	630	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Linh Cèc ®éng gi?t 50 con GÊu n©u, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 185"	6	1	631	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Linh Cèc ®éng gi?t 100 con GÊu n©u, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 186"	6	1	632	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Linh Cèc ®éng gi?t 150 con GÊu n©u, §ång hµnh t? cÊp 65 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 187"	6	1	633	\spr\item\script\item_huangjintupu.spr	38	1	1	§?n §¹o H­¬ng th«n gi?t 50 con Heo tr¾ng		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 188"	6	1	634	\spr\item\script\item_huangjintupu.spr	38	1	1	§?n §¹o H­¬ng th«n gi?t 100 con Heo tr¾ng		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 189"	6	1	635	\spr\item\script\item_huangjintupu.spr	38	1	1	§?n §¹o H­¬ng th«n gi?t 150 con Heo tr¾ng		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 190"	6	1	636	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Méc Nh©n H¹ng gi?t 50 tªn Méc Nh©n, §ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 191"	6	1	637	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Méc Nh©n H¹ng gi?t 100 tªn Méc Nh©n, §ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 192"	6	1	638	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Méc Nh©n H¹ng gi?t 150 tªn Méc Nh©n, §ång hµnh t? cÊp 5 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 193"	6	1	639	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thi?u L©m mËt thÊt gi?t 50 tªn §ång Nh©n, §ång hµnh t? cÊp 35 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 194"	6	1	640	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thi?u L©m mËt thÊt gi?t 100 tªn §ång Nh©n, §ång hµnh t? cÊp 35 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 195"	6	1	641	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Thi?u L©m mËt thÊt gi?t 150 tªn §ång Nh©n, §ång hµnh t? cÊp 35 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 196"	6	1	642	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Phi Thiªn ®éng gi?t 50 tªn K? Chñy, §ång hµnh t? cÊp 75 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
"MËt ®å ""§ång hµnh luyÖn cÊp"" 197"	6	1	643	\spr\item\script\item_huangjintupu.spr	38	1	1	"§?n Phi Thiªn ®éng gi?t 100 tªn K? Chñy, §ång hµnh t? cÊp 75 trë lªn"		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
